葛飾区,442586,34.79
江戸川区,678967,49.76
江東区,460819,39.94
港区,205131,20.34
新宿区,326309,18.23
杉並区,549569,34.02
世田谷区,877138,58.08
足立区,683426,53.2
大田区,693373,59.46
中野区,314750,15.59
町田市,426987,71.63
調布市,223593,21.53
八王子市,580053,186.31
板橋区,535824,32.17
品川区,365302,22.72
府中市,255506,29.34
文京区,206626,11.31
豊島区,284678,13.01
北区,335544,20.59
墨田区,247606,13.75
目黒区,268330,14.7
練馬区,716124,48.16
